epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
117,11824.5,1.14382,0.61184,1.04632,1.91352,0.90558,0.77025,0.82585,0.50759,1.31674,0.80572,1.39241,0,0.0002344,0.0002344,0.0002344
118,11913.1,1.13317,0.59409,1.03772,1.85928,0.90783,0.76316,0.82606,0.50476,1.33369,0.80797,1.39922,0,0.0002278,0.0002278,0.0002278
119,11994.9,1.16478,0.60896,1.03632,1.88379,0.90284,0.76096,0.82303,0.50137,1.35404,0.80487,1.42193,0,0.0002212,0.0002212,0.0002212
120,12085.7,1.09789,0.58801,1.03492,1.85275,0.90948,0.76911,0.82686,0.50474,1.35462,0.81609,1.41437,0,0.0002146,0.0002146,0.0002146
121,12162.1,1.15779,0.60249,1.02007,1.83477,0.90033,0.76484,0.82295,0.49601,1.45175,0.84681,1.51699,0,0.000208,0.000208,0.000208
122,12287.9,1.14068,0.60391,1.03157,1.87507,0.90759,0.75916,0.82318,0.4955,1.37261,0.80968,1.44026,0,0.0002014,0.0002014,0.0002014
123,12378.2,1.10913,0.59561,1.03383,1.84551,0.90216,0.77318,0.82773,0.51173,1.32835,0.81096,1.41289,0,0.0001948,0.0001948,0.0001948
124,12465.4,1.13677,0.60947,1.05101,1.86655,0.90373,0.76323,0.82347,0.49336,1.38817,0.82279,1.44259,0,0.0001882,0.0001882,0.0001882
125,12606.8,1.10492,0.58384,1.02057,1.83494,0.90199,0.77039,0.83266,0.51392,1.32194,0.81077,1.39684,0,0.0001816,0.0001816,0.0001816
126,12682.9,1.11099,0.59161,1.02846,1.81066,0.91044,0.76889,0.82959,0.51341,1.3449,0.82114,1.42511,0,0.000175,0.000175,0.000175
127,12759.9,1.11478,0.58984,1.03836,1.83731,0.90522,0.77406,0.83153,0.50927,1.35891,0.81598,1.43994,0,0.0001684,0.0001684,0.0001684
